feature,rss,gcv,nb_subset,timestep
DNP007_temp,0.02,0.02,0.03,23
PIN004_wl,0.01,0.01,0.03,23
DNP022_wl,0.01,0.01,0.03,23
PAS004_wl,0.01,0.01,0.03,23
PIN001_rain1h,0.01,0.01,0.05,23
BKK021_wl,0.01,0.01,0.01,23
CPY015_wl,0.01,0.01,0.03,23
KWN002_wl,0.01,0.01,0.03,23
DNP032_wl,0.00,0.00,0.03,23
DIV001_wl,0.00,0.00,0.03,23
PAS007_wl,0.00,0.00,0.03,23
TB0005_press,0.00,0.00,0.03,23
DIV005_wl,0.00,0.00,0.03,23
NAN014_wl,0.00,0.00,0.05,23
DNP006_wl,0.00,0.00,0.03,23
DNP030_rain1h,0.00,0.00,0.03,23
PIN001_wl,0.00,0.00,0.03,23
LBI002_wl,0.00,0.00,0.03,23
NAN004_wl,0.00,0.00,0.03,23
CPY006_wl,0.73,0.73,0.03,24
PAS009_wl,0.05,0.05,0.09,24
CPY015_wl,0.03,0.03,0.03,24
CPY017_wl,0.03,0.03,0.03,24
VLGE15_press,0.02,0.02,0.03,24
DNP028_press,0.01,0.01,0.03,24
PIN001_rain1h,0.01,0.01,0.03,24
PAS008_wl,0.01,0.01,0.05,24
BKK013_wl,0.01,0.01,0.03,24
YOM009_wl,0.01,0.01,0.03,24
VLGE04_press,0.01,0.01,0.03,24
NAN008_wl,0.01,0.01,0.03,24
PAS005_wl,0.01,0.01,0.03,24
NAN014_wl,0.01,0.01,0.08,24
DNP032_wl,0.00,0.00,0.03,24
DNP015_temp,0.00,0.00,0.03,24
GLF001_wl,0.00,0.00,0.03,24
CPY011_wl,0.00,0.00,0.03,24
DNP030_rain1h,0.00,0.00,0.05,24
PAS004_wl,0.00,0.00,0.03,24
DNP025_temp,0.00,0.00,0.03,24
DIV005_wl,0.00,0.00,0.03,24
NAN001_wl,0.00,0.00,0.03,24
PAS007_wl,0.00,0.00,0.03,24
PAS006_wl,0.00,0.00,0.03,24
CPY006_wl,0.71,0.71,0.03,25
NAN012_wl,0.05,0.05,0.03,25
PAS009_wl,0.05,0.05,0.03,25
CPY015_wl,0.03,0.03,0.03,25
NAN008_wl,0.02,0.02,0.03,25
VLGE15_press,0.02,0.02,0.03,25
PIN001_rain1h,0.01,0.01,0.05,25
CPY017_wl,0.01,0.01,0.03,25
NAN014_wl,0.01,0.01,0.05,25
PAS008_wl,0.01,0.01,0.05,25
CPY004_wl,0.01,0.01,0.03,25
VLGE12_wl,0.01,0.01,0.03,25
DNP025_temp,0.01,0.01,0.03,25
CHM004_wl,0.01,0.01,0.03,25
TB0005_press,0.01,0.01,0.03,25
DNP015_temp,0.00,0.00,0.03,25
PAS004_wl,0.00,0.00,0.03,25
DNP030_rain1h,0.00,0.00,0.03,25
GLF001_wl,0.00,0.00,0.03,25
YOM005_wl,0.00,0.00,0.04,25
PIN004_wl,0.00,0.00,0.03,25
TB0007_humid,0.00,0.00,0.03,25
DNP032_wl,0.00,0.00,0.03,25
PAS006_wl,0.00,0.00,0.03,25
PAS005_wl,0.00,0.00,0.03,25
PAS002_wl,0.00,0.00,0.03,25
NAN006_wl,0.00,0.00,0.03,25
CPY011_wl,0.72,0.72,0.07,26
PAS009_wl,0.08,0.08,0.08,26
VLGE12_wl,0.05,0.05,0.03,26
GLF001_wl,0.03,0.03,0.03,26
BKK018_wl,0.02,0.02,0.03,26
PAS005_wl,0.01,0.01,0.03,26
CPY010_wl,0.01,0.01,0.03,26
CPY006_wl,0.01,0.01,0.03,26
NAN014_wl,0.01,0.01,0.07,26
DNP032_wl,0.01,0.01,0.03,26
NAN008_wl,0.01,0.01,0.03,26
PIN006_wl,0.00,0.00,0.03,26
DNP028_temp,0.00,0.00,0.03,26
CHM004_wl,0.00,0.00,0.03,26
PAS006_wl,0.00,0.00,0.03,26
DNP015_temp,0.00,0.00,0.03,26
PIN001_rain1h,0.00,0.00,0.03,26
NAN012_wl,0.00,0.00,0.03,26
BKK002_wl,0.00,0.00,0.03,26
DNP025_temp,0.00,0.00,0.03,26
PIN001_wl,0.00,0.00,0.03,26
PAS008_wl,0.00,0.00,0.03,26
CPY004_wl,0.00,0.00,0.03,26
PAS004_wl,0.00,0.00,0.03,26
NAN011_wl,0.00,0.00,0.03,26
NAN008_wl,0.73,0.73,0.02,27
PAS009_wl,0.06,0.06,0.11,27
CPY011_wl,0.05,0.05,0.07,27
VLGE12_wl,0.03,0.03,0.05,27
BKK018_wl,0.03,0.03,0.05,27
NAN001_wl,0.01,0.01,0.02,27
PAS004_wl,0.01,0.01,0.02,27
NAN014_wl,0.01,0.01,0.05,27
PIN006_wl,0.01,0.01,0.07,27
PIN001_wl,0.01,0.01,0.02,27
DNP028_temp,0.01,0.01,0.02,27
DNP032_wl,0.00,0.00,0.02,27
GLF001_wl,0.00,0.00,0.02,27
CPY015_wl,0.00,0.00,0.02,27
DNP017_temp,0.00,0.00,0.02,27
DNP020_temp,0.00,0.00,0.02,27
CPY014_wl,0.00,0.00,0.02,27
