feature,rss,gcv,nb_subset,timestep
TB0005_press,0.02,0.02,0.03,14
PAS004_wl,0.02,0.02,0.03,14
Dam_KiewLom_Useable_WaterVol,0.01,0.01,0.03,14
NAN005_wl,0.01,0.01,0.03,14
DNP032_wl,0.01,0.01,0.07,14
NAN014_wl,0.01,0.01,0.03,14
DIV006_wl,0.01,0.01,0.03,14
VLGE15_press,0.01,0.01,0.03,14
Dam_SK_Useable_WaterVol,0.00,0.00,0.03,14
NAN011_wl,0.00,0.00,0.07,14
NAN001_wl,0.00,0.00,0.03,14
CPY011_wl,0.00,0.00,0.03,14
WAN003_wl,0.00,0.00,0.03,14
DNP012_temp,0.00,0.00,0.03,14
DNP006_wl,0.00,0.00,0.03,14
YOM007_wl,0.00,0.00,0.03,14
PAS002_wl,0.00,0.00,0.03,14
VLGE36_rain,0.57,0.57,0.16,15
DNP032_rain,0.25,0.25,0.08,15
VLGE15_rain,0.08,0.08,0.16,15
PAS002_wl,0.03,0.03,0.06,15
DNP032_wl,0.02,0.02,0.06,15
CPY009_temp,0.02,0.02,0.03,15
DNP028_press,0.00,0.00,0.03,15
Dam_KheawNoi_Useable_WaterVol,0.00,0.00,0.03,15
NAN009_wl,0.00,0.00,0.03,15
CHM006_wl,0.00,0.00,0.03,15
DNP018_humid,0.00,0.00,0.03,15
DIV006_wl,0.00,0.00,0.03,15
TB0005_press,0.00,0.00,0.03,15
CPY003_wl,0.00,0.00,0.03,15
YOM009_wl,0.00,0.00,0.03,15
YOM003_wl,0.00,0.00,0.03,15
BKK018_wl,0.00,0.00,0.03,15
DNP025_press,0.00,0.00,0.03,15
DNP026_press,0.00,0.00,0.03,15
CPY011_rain,0.00,0.00,0.03,15
WAN003_rain,0.00,0.00,0.00,15
Dam_KiewKorMa_Useable_WaterVol,0.36,0.37,0.03,16
DNP032_rain,0.15,0.15,0.04,16
DNP022_wl,0.13,0.13,0.03,16
CPY011_rain,0.07,0.07,0.06,16
Dam_SK_WaterVol,0.06,0.06,0.03,16
NAN009_wl,0.04,0.04,0.03,16
DNP029_temp,0.03,0.03,0.03,16
YOM012_wl,0.03,0.03,0.03,16
